NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,6,22,1,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.9565217391304355,23,1,2014
Engenharia Ambiental (112282),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.949999999999999,20,1,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.933333333333333,15,1,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.913043478260869,23,1,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.909090909090908,22,1,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.888888888888888,18,1,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.869565217391305,23,1,2014
Engenharia Ambiental (112282),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.866666666666667,15,2,2014
NA (313449),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.866666666666667,15,2,2014
