NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano,diffMediaAno,medPerguntaAno
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,6,22,1,2014,1.04,4.96
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.96,23,1,2014,0.65,5.31
Engenharia Ambiental (112282),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.95,20,1,2014,1.49,4.46
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.93,15,1,2014,0.6,5.34
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.91,23,1,2014,0.8,5.11
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.91,22,1,2014,0.71,5.2
Letras-Português (Licenciatura) (1160083),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.89,18,1,2014,0.74,5.15
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.87,23,1,2014,0.63,5.24
Engenharia Ambiental (112282),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.87,15,2,2014,0.53,5.34
História (Bacharelado) (313449),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.87,15,2,2014,0.56,5.31
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.86,22,1,2014,0.88,4.98
Geografia (Licenciatura) (120777),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.86,57,1,2014,0.78,5.08
Engenharia Ambiental (112282),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.85,20,1,2014,0.42,5.43
