X,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,NT_GER,NT_FG,NT_CE,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
1,2017,2564,1,10028,2402,13405,1,2503704,25,2,24,2010,2014,1,"36,4","45,6","33,3",A,C,A,B,B,B,C,A,B,A,A,A,A,A,A,24,A,A,B,C,A,B,B,E,H,F,6,3,6,5,6,5,5,6,5,5,4,4,5,4,5,6,4,4,4,2,5,5,5,6,5,1,1,3,4,2,4,5,5,6,4,4,4,5,2,5,4,4,D,C,I,I,A,A,C,B,A,B,B,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2,2017,2564,1,10028,2402,13405,1,2503704,25,2,23,2013,2014,1,"66,3","78,8","62,1",A,D,A,B,B,B,E,A,A,A,H,E,D,A,A,23,A,A,A,G,B,E,B,E,E,F,6,5,6,4,6,5,6,6,6,5,3,4,5,4,6,6,5,5,4,4,4,5,6,6,4,3,1,5,3,4,6,2,4,5,4,3,3,1,2,6,6,4,A,B,B,C,A,B,C,A,A,B,B,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
3,2017,2564,1,10028,2402,13405,1,2503704,25,2,24,2010,2013,1,"27,3","48,5","20,2",A,A,A,D,D,B,D,A,B,A,A,A,F,A,A,25,A,A,B,A,B,C,C,E,E,F,5,5,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,7,4,3,5,5,7,7,7,5,5,5,6,5,5,6,4,7,7,4,7,5,5,5,A,A,I,I,A,B,C,A,A,B,C,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
4,2017,2564,1,10028,2402,13405,1,2503704,25,2,21,2013,2014,1,"54,6","68,9","49,8",A,A,A,C,B,B,E,B,B,A,A,A,C,A,A,25,B,A,B,E,A,E,C,E,H,A,4,4,4,4,5,5,6,5,6,5,4,5,5,4,5,5,5,4,4,4,4,4,4,5,7,8,8,4,4,3,4,3,4,4,3,4,3,3,7,6,4,4,D,B,I,I,A,B,C,B,E,B,C,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
5,2017,2564,1,10028,2402,13405,1,2503704,25,2,24,2010,2013,4,"34,8","48,9","30,1",A,D,A,C,D,B,F,A,B,A,A,A,A,A,A,25,A,A,B,C,A,C,C,E,G,A,4,2,1,5,5,3,5,6,3,4,3,3,4,1,2,4,5,5,6,4,6,2,4,3,2,1,1,2,3,4,5,3,5,3,2,2,2,5,2,5,3,6,D,D,I,I,A,C,C,A,A,B,B,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
6,2017,2564,1,10028,2402,13405,1,2503704,25,2,33,2005,2011,4,"44,2","51,7","41,7",A,D,A,D,B,B,E,A,C,E,A,A,A,A,A,25,A,A,A,K,B,C,B,E,H,C,8,7,6,3,6,4,5,3,5,4,2,3,1,2,1,5,1,2,5,1,1,1,1,4,8,1,1,1,1,2,6,2,2,4,1,1,1,2,1,1,1,4,D,J,I,I,A,C,D,A,E,C,C,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
7,2017,2564,1,10028,2402,13405,1,2503704,25,2,28,2009,2010,4,"34,1","30,0","35,4",A,D,A,A,A,C,E,A,B,A,A,A,A,A,A,25,A,A,B,C,B,D,B,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,8,8,6,6,6,6,6,5,5,2,2,2,5,8,6,5,6,A,A,B,C,A,C,C,C,A,A,A,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
8,2017,2564,1,10028,2402,13405,1,2503704,25,2,21,2013,2014,1,"38,9","59,4","32,1",A,A,A,E,C,B,D,C,C,D,A,A,D,A,D,25,A,A,A,G,A,E,B,A,E,A,6,6,5,6,6,5,6,6,6,6,5,6,5,6,6,5,6,6,5,6,5,6,5,6,6,5,6,5,6,6,5,5,5,5,5,5,5,5,6,5,5,5,A,A,I,I,A,A,C,A,C,B,A,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
9,2017,2564,1,10028,2402,13405,1,2503704,25,2,23,2013,2014,1,"47,6","62,2","42,7",A,D,A,D,B,B,H,C,B,A,A,C,C,A,A,25,A,A,B,A,A,B,B,E,H,A,5,6,5,6,5,6,6,6,5,6,4,5,4,3,6,5,6,5,4,6,3,3,5,6,8,3,2,4,3,4,5,4,3,5,3,8,8,3,4,6,4,3,A,J,I,I,A,B,C,D,A,B,B,B,C,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
10,2017,2564,1,10028,2402,13405,1,2503704,25,2,20,2013,2014,1,"41,4","45,1","40,2",A,D,A,B,B,B,D,A,A,A,A,F,D,A,A,25,A,A,A,B,B,C,D,E,H,C,5,4,5,6,4,6,5,5,6,6,5,5,6,4,6,5,5,2,4,4,4,4,5,4,6,5,2,3,5,4,6,7,3,5,5,5,5,5,7,6,4,5,B,B,I,I,A,A,C,C,E,B,B,B,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
